year,rank,university,budget_original,budget_unit,budget_yi_yuan,source_image,source_url,extraction_method,verified,notes,group
2018,20,北京师范大学,66.12亿元,亿元,66.12,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,21,东南大学,44.70亿元,亿元,44.7,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,22,中国人民大学,57.79亿元,亿元,57.79,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,23,华东师范大学,57.03亿元,亿元,57.03,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,24,大连理工大学,55.59亿元,亿元,55.59,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,25,中国农业大学,55.45亿元,亿元,55.45,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,26,电子科技大学,53.83亿元,亿元,53.83,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,27,重庆大学,50.36亿元,亿元,50.36,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,29,东北大学,36.88亿元,亿元,36.88,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,37,湖南大学,41.43亿元,亿元,41.43,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,40,兰州大学,37.97亿元,亿元,37.97,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,43,西北农林科技大学,37.38亿元,亿元,37.38,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2018,45,中国海洋大学,35.81亿元,亿元,35.81,2018.jpeg,https://www.antpedia.com/news/99/n-2161799.html,paddleocr_strip,False,,985
2019,1,北京大学,190.06亿元,亿元,190.06,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,2,清华大学,297.20亿元,亿元,297.2,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,3,浙江大学,191.77亿元,亿元,191.77,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,4,吉林大学,98.97亿元,亿元,98.97,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,5,武汉大学,106.44亿元,亿元,106.44,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,6,四川大学,94.48亿元,亿元,94.48,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,7,华中科技大学,106.98亿元,亿元,106.98,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,8,上海交通大学,156.32亿元,亿元,156.32,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,9,复旦大学,125.09亿元,亿元,125.09,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,10,山东大学,97.27亿元,亿元,97.27,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,11,中山大学,175.17亿元,亿元,175.17,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,12,西安交通大学,88.17亿元,亿元,88.17,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,13,中南大学,84.50亿元,亿元,84.5,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,14,南京大学,77.53亿元,亿元,77.53,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,15,北京师范大学,81.85亿元,亿元,81.85,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,17,同济大学,90.46亿元,亿元,90.46,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,18,天津大学,76.53亿元,亿元,76.53,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,19,厦门大学,81.93亿元,亿元,81.93,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,20,中国人民大学,63.92亿元,亿元,63.92,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,22,东南大学,74.72亿元,亿元,74.72,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,23,重庆大学,51.80亿元,亿元,51.8,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,24,南开大学,66.35亿元,亿元,66.35,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,25,华南理工大学,70.98亿元,亿元,70.98,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,26,兰州大学,45.37亿元,亿元,45.37,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
2019,27,东北大学,49.89亿元,亿元,49.89,2019.jpg,https://www.sohu.com/a/311077070_503494,paddleocr_row,False,,985
