year,rank,university,budget_original,budget_unit,budget_yi_yuan,source_image,source_url,extraction_method,verified,notes
2017,57,东华大学,21.27亿元,亿元,21.27,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,58,北京林业大学,19.95亿元,亿元,19.95,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,59,北京中医药大学,19.78亿元,亿元,19.78,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,60,中国药科大学,17.04亿元,亿元,17.04,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,61,对外经济贸易大学,16.73亿元,亿元,16.73,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,62,上海财经大学,16.7亿元,亿元,16.7,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,63,中南财经政法大学,15.82亿元,亿元,15.82,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,64,西南财经大学,15.68亿元,亿元,15.68,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,65,中央财经大学,14.59亿元,亿元,14.59,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,66,北京外国语大学,14.34亿元,亿元,14.34,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,67,东北林业大学,14.33亿元,亿元,14.33,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,68,中国矿业大学（北京）,13.81亿元,亿元,13.81,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,69,中国政法大学,13.68亿元,亿元,13.68,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,70,中国传媒大学,12.81亿元,亿元,12.81,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,71,北京语言大学,11.23亿元,亿元,11.23,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,72,上海外国语大学,10.34亿元,亿元,10.34,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,73,中央美术学院,8.62亿元,亿元,8.62,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,74,中央音乐学院,5.04亿元,亿元,5.04,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
2017,75,中央戏剧学院,3.9亿元,亿元,3.9,2017决算.jpg,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,决算口径(非预算); 总经费=决算经费总额
